firm,year,sector,emp,wage
117,1980,3,8.5880003,19.156
117,1981,3,7.7290001,22.414101
117,1982,3,7.2020001,21.628
117,1983,3,7.0760002,21.717699
117,1984,3,6.7729998,21.373899
118,1976,8,4.027,14.3738
118,1977,8,3.79,15.0237
118,1978,8,4.0430002,14.9687
118,1979,8,4.9580002,15.1323
118,1980,8,4.7690001,15.4628
118,1981,8,4.427,15.3375
118,1982,8,4.0500002,16.1761
118,1983,8,3.8269999,16.9557
119,1977,2,2.2190001,41.665401
119,1978,2,2.177,28.319901
119,1979,2,1.983,28.749399
119,1980,2,1.965,27.135401
119,1981,2,1.863,24.502701
119,1982,2,1.5420001,25.592699
119,1983,2,1.42,25.3738
119,1984,2,1.265,23.2838
120,1977,9,1.13,22.909
120,1978,9,1.115,22.7145
120,1979,9,1.117,23.982401
120,1980,9,1.224,24.901501
120,1981,9,1.1799999,23.655399
120,1982,9,1.61,24.029499
120,1983,9,1.501,25.007401
120,1984,9,1.47,24.1847
121,1977,9,1.255,25.943701
121,1978,9,1.334,23.2267
121,1979,9,1.368,23.522499
121,1980,9,1.395,25.4445
121,1981,9,1.404,26.1105
121,1982,9,1.345,27.7335
121,1983,9,1.3150001,29.119499
121,1984,9,1.296,29.403099
122,1976,9,3.0539999,28.2073
122,1977,9,3.1600001,25.761299
122,1978,9,3.073,25.416
122,1979,9,3.0090001,26.4508
122,1980,9,2.721,25.7973
122,1981,9,2.2379999,29.437201
122,1982,9,1.766,30.726601
122,1983,9,1.673,31.1674
123,1976,9,0.61199999,18.372299
123,1977,9,0.62599999,18.1238
123,1978,9,0.63800001,18.593599
123,1979,9,0.65600002,19.7904
123,1980,9,0.65899998,18.8543
123,1981,9,0.63200003,20.2862
123,1982,9,0.63200003,20.177601
123,1983,9,0.63300002,18.938
124,1977,2,0.142,34.403301
124,1978,2,0.134,32.7509
124,1979,2,0.13500001,32.675301
124,1980,2,0.131,30.1467
124,1981,2,0.125,31.6479
124,1982,2,0.126,29.6343
124,1983,2,0.123,29.370199
124,1984,2,0.122,27.0973
125,1977,8,0.45100001,19.8535
125,1978,8,0.458,19.451099
125,1979,8,0.454,18.9776
125,1980,8,0.44600001,19.2195
125,1981,8,0.39899999,19.3864
125,1982,8,0.37,21.3976
125,1983,8,0.36399999,22.270399
125,1984,8,0.35800001,22.393801
126,1977,8,0.26699999,23.329399
126,1978,8,0.264,22.635799
126,1979,8,0.259,21.8032
126,1980,8,0.236,20.787701
126,1981,8,0.15899999,25.351801
126,1982,8,0.14399999,26.2677
126,1983,8,0.131,30.2122
126,1984,8,0.104,34.331902
127,1976,7,1.138,14.6985
127,1977,7,1.064,14.4097
127,1978,7,1.135,14.9179
127,1979,7,1.273,14.3948
127,1980,7,1.51,14.2655
127,1981,7,1.518,14.5068
127,1982,7,1.533,14.5422
127,1983,7,1.493,15.1643
127,1984,7,1.589,16.2798
128,1976,7,1.702,14.2391
128,1977,7,1.834,13.9061
128,1978,7,2.006,12.7122
128,1979,7,2.053,12.706
128,1980,7,1.777,14.7105
128,1981,7,1.582,14.4531
128,1982,7,1.475,14.8611
128,1983,7,1.439,15.3642
128,1984,7,1.327,14.7592
129,1976,7,0.76800001,8.8274002
129,1977,7,0.787,8.3601999
129,1978,7,0.80400002,8.2349997
129,1979,7,0.86400002,8.0171003
129,1980,7,0.921,8.4820004
129,1981,7,0.91000003,8.9605999
129,1982,7,0.87099999,9.1365995
129,1983,7,0.87400001,9.1879997
129,1984,7,0.852,9.2131996
130,1976,3,20,29.309601
130,1977,3,20.700001,27.491899
130,1978,3,20.5,29.6514
130,1979,3,20.6,29.695499
130,1980,3,18.5,30.4417
130,1981,3,15,34.6777
130,1982,3,12.348,37.102001
130,1983,3,10.52,35.864899
130,1984,3,9.4300003,36.600601
131,1976,9,4.0999999,25.557501
131,1977,9,4.046,24.737301
131,1978,9,3.566,24.392799
131,1979,9,3.102,24.725401
131,1980,9,2.8859999,22.4762
131,1981,9,2.5139999,22.857201
131,1982,9,2.306,23.112
131,1983,9,1.462,22.895901
131,1984,9,1.447,21.400499
132,1976,1,0.97100002,20.0884
132,1977,1,0.954,18.175501
132,1978,1,0.92500001,17.4424
132,1979,1,0.90100002,19.7138
132,1980,1,0.88300002,17.1502
132,1981,1,0.72799999,20.091801
132,1982,1,0.66600001,21.871901
132,1983,1,0.62199998,25.163401
132,1984,1,0.61500001,24.6744
133,1976,4,2.1659999,27.622101
133,1977,4,2.398,25.0826
133,1978,4,2.3570001,23.2591
133,1979,4,2.3559999,22.5165
133,1980,4,2.5090001,22.619301
133,1981,4,2.1129999,22.3941
133,1982,4,1.95,25.2626
133,1983,4,1.7079999,26.704399
133,1984,4,1.714,27.6099
134,1976,8,13.026,15.22
134,1977,8,14.227,14.7212
134,1978,8,14.006,15.5864
134,1979,8,13.889,15.5672
134,1980,8,13.319,14.8591
134,1981,8,13.018,16.965401
134,1982,8,13.631,16.773701
134,1983,8,13.349,18.4911
134,1984,8,13.486,17.8505
135,1976,8,2.3659999,18.6381
135,1977,8,2.3699999,18.8664
135,1978,8,2.3469999,17.417101
135,1979,8,2.145,17.039801
135,1980,8,1.818,16.9023
135,1981,8,1.5700001,18.402399
135,1982,8,1.3150001,18.341499
135,1983,8,1.187,19.208099
135,1984,8,1.194,19.5002
136,1976,8,0.61500001,24.100201
136,1977,8,0.74199998,22.055099
136,1978,8,0.67299998,20.0774
136,1979,8,0.69,19.3673
136,1980,8,0.324,19.2094
136,1981,8,0.226,24.182899
136,1982,8,0.25799999,24.149599
136,1983,8,0.35600001,23.242399
136,1984,8,0.465,22.592501
137,1976,2,2.599,38.437801
137,1977,2,2.7019999,34.050999
137,1978,2,2.7079999,37.695099
137,1979,2,2.6229999,33.479401
137,1980,2,2.3770001,32.2369
137,1981,2,1.995,33.7775
137,1982,2,1.747,34.5625
137,1983,2,1.612,35.023998
137,1984,2,1.1849999,35.816299
138,1976,9,1.9220001,26.959299
138,1977,9,1.929,24.9356
138,1978,9,1.934,25.122
138,1979,9,1.976,26.573
138,1980,9,2.096,27.3524
138,1981,9,1.99,24.2052
138,1982,9,1.558,25.488001
138,1983,9,1.372,26.804899
138,1984,9,1.3049999,27.095699
139,1976,9,1.0549999,22.1859
139,1977,9,1.044,21.1581
139,1978,9,1.109,20.1187
139,1979,9,1.171,20.0128
139,1980,9,1.123,19.438601
139,1981,9,1.074,19.881399
139,1982,9,1.087,20.3375
139,1983,9,1.5089999,20.2055
139,1984,9,1.513,20.308399
140,1976,3,1.541,29.093901
140,1977,3,1.447,25.6975
140,1978,3,1.425,27.587601
140,1979,3,1.438,29.0149
140,1980,3,1.401,28.277201
140,1981,3,1.33,30.427401
140,1982,3,1.192,30.556499
140,1983,3,1.136,30.8661
140,1984,3,1.0930001,30.644199
